2016-12-25 15:30:15 INFO  Client:68 - Client Marlin had chosen CashDesk#2
2016-12-25 15:30:15 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:15 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:15 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:15 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:15 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:30:15 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:30:15 INFO  CashDesk:31 - Client Marlin is served
2016-12-25 15:31:58 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:31:58 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:31:58 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:31:58 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:31:58 INFO  Client:68 - Client Fuhrer had chosen CashDesk#2
2016-12-25 15:31:58 INFO  Client:68 - Client Dimasik^^ had chosen CashDesk#3
2016-12-25 15:31:58 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:31:58 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:31:58 INFO  Client:68 - Client David had chosen CashDesk#2
2016-12-25 15:31:58 INFO  Client:68 - Client Marlin had chosen CashDesk#1
2016-12-25 15:31:58 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:31:58 INFO  CashDesk:32 - Client Fuhrer is served
2016-12-25 15:31:58 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:31:58 INFO  Client:44 - Client David Stay in queue
2016-12-25 15:31:58 INFO  CashDesk:32 - Client Marlin is served
2016-12-25 15:31:58 INFO  CashDesk:32 - Client Dimasik^^ is served
2016-12-25 15:31:58 INFO  Client:31 - Client David made pre order.
2016-12-25 15:31:58 INFO  CashDesk:32 - Client David is served
2016-12-25 15:32:55 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:32:55 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:32:55 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:32:55 INFO  Client:68 - Client Dimasik^^ had chosen CashDesk#2
2016-12-25 15:32:55 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:32:55 INFO  Client:68 - Client Marlin had chosen CashDesk#1
2016-12-25 15:32:55 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:32:55 INFO  Client:68 - Client David had chosen CashDesk#3
2016-12-25 15:32:55 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:32:55 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:32:55 INFO  Client:68 - Client Fuhrer had chosen CashDesk#3
2016-12-25 15:32:55 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:32:55 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:32:55 INFO  Client:31 - Client David made pre order.
2016-12-25 15:32:55 INFO  CashDesk:32 - Client David is served
2016-12-25 15:32:55 INFO  CashDesk:32 - Client Dimasik^^ is served
2016-12-25 15:32:55 INFO  CashDesk:32 - Client Fuhrer is served
2016-12-25 15:32:55 INFO  CashDesk:32 - Client Marlin is served
2016-12-25 15:33:00 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:33:00 INFO  Client:27 - Client Marlin visit the Restaurant.
2016-12-25 15:33:00 INFO  Client:27 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:33:00 INFO  Client:27 - Client David visit the Restaurant.
2016-12-25 15:33:00 INFO  Client:68 - Client David had chosen CashDesk#3
2016-12-25 15:33:00 INFO  Client:27 - Client Fuhrer visit the Restaurant.
2016-12-25 15:33:00 INFO  Client:31 - Client David made pre order.
2016-12-25 15:33:00 INFO  Client:68 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:33:00 INFO  Client:68 - Client Marlin had chosen CashDesk#2
2016-12-25 15:33:00 INFO  Client:31 - Client Dimasik^^ made pre order.
2016-12-25 15:33:00 INFO  Client:68 - Client Fuhrer had chosen CashDesk#2
2016-12-25 15:33:00 INFO  CashDesk:32 - Client Dimasik^^ is served
2016-12-25 15:33:00 INFO  CashDesk:32 - Client David is served
2016-12-25 15:33:00 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:33:00 INFO  Client:44 - Client Fuhrer Stay in queue
2016-12-25 15:33:00 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:33:00 INFO  Client:44 - Client Fuhrer Stay in queue
2016-12-25 15:33:00 INFO  Client:44 - Client Marlin Stay in queue
2016-12-25 15:33:00 INFO  Client:44 - Client Fuhrer Stay in queue
2016-12-25 15:33:00 INFO  Client:31 - Client Marlin made pre order.
2016-12-25 15:33:00 INFO  Client:31 - Client Fuhrer made pre order.
2016-12-25 15:33:00 INFO  CashDesk:32 - Client Marlin is served
2016-12-25 15:33:00 INFO  CashDesk:32 - Client Fuhrer is served
2016-12-25 15:34:21 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:34:21 INFO  Client:24 - Client Marlin visit the Restaurant.
2016-12-25 15:34:21 INFO  Client:24 - Client Fuhrer visit the Restaurant.
2016-12-25 15:34:21 INFO  Client:66 - Client Fuhrer had chosen CashDesk#3
2016-12-25 15:34:21 INFO  Client:41 - Client Fuhrer Stay in queue
2016-12-25 15:34:21 INFO  Client:66 - Client Marlin had chosen CashDesk#1
2016-12-25 15:34:21 INFO  Client:72 - Client Fuhrer had change CashDesk#3
2016-12-25 15:34:21 INFO  Client:24 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:34:21 INFO  Client:24 - Client David visit the Restaurant.
2016-12-25 15:34:21 INFO  Client:66 - Client Dimasik^^ had chosen CashDesk#3
2016-12-25 15:34:21 INFO  Client:41 - Client Fuhrer Stay in queue
2016-12-25 15:34:21 INFO  Client:28 - Client Marlin made pre order.
2016-12-25 15:34:21 INFO  Client:72 - Client Fuhrer had change CashDesk#3
2016-12-25 15:34:21 INFO  Client:41 - Client Dimasik^^ Stay in queue
2016-12-25 15:34:21 INFO  Client:66 - Client David had chosen CashDesk#2
2016-12-25 15:34:21 INFO  Client:72 - Client Dimasik^^ had change CashDesk#3
2016-12-25 15:34:21 INFO  Client:41 - Client Fuhrer Stay in queue
2016-12-25 15:34:21 INFO  Client:28 - Client Dimasik^^ made pre order.
2016-12-25 15:34:21 INFO  CashDesk:32 - Client Marlin is served
2016-12-25 15:34:21 INFO  Client:28 - Client David made pre order.
2016-12-25 15:34:21 INFO  CashDesk:32 - Client Dimasik^^ is served
2016-12-25 15:34:21 INFO  Client:72 - Client Fuhrer had change CashDesk#3
2016-12-25 15:34:21 INFO  CashDesk:32 - Client David is served
2016-12-25 15:34:21 INFO  Client:28 - Client Fuhrer made pre order.
2016-12-25 15:34:21 INFO  CashDesk:32 - Client Fuhrer is served
2016-12-25 15:34:34 INFO  TxtFileReader:20 - File src/main/resources/data.txt successfully read.
2016-12-25 15:34:34 INFO  Client:24 - Client Dimasik^^ visit the Restaurant.
2016-12-25 15:34:34 INFO  Client:24 - Client David visit the Restaurant.
2016-12-25 15:34:34 INFO  Client:24 - Client Marlin visit the Restaurant.
2016-12-25 15:34:34 INFO  Client:24 - Client Fuhrer visit the Restaurant.
2016-12-25 15:34:34 INFO  Client:66 - Client Dimasik^^ had chosen CashDesk#1
2016-12-25 15:34:34 INFO  Client:66 - Client David had chosen CashDesk#2
2016-12-25 15:34:34 INFO  Client:28 - Client Dimasik^^ made pre order.
